Item_ID__c,Building_Code__c,Internal_External__c,Level__c,Room_or_Area__c,Location_in_Room__c,Item_Name__c,If_Other_Item_Name__c,Friability_of_Material__c,ACM_Classification__c,ACM_Sub_Classification__c,NATA_Endorsed_Sample_no__c,Sample_Analysis_Result_Material_Status__c,Identifying_Hygiene_Consulting_Company__c,Condition__c,Disturbance_Potential_of_Material__c,Quantity__c,Labelled__c,Labelled_Details__c,Photo_Ref__c,Additional_Comments__c,Assumed_Removed__c
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-52.0,Main Hospital Building,Internal,Ground Level,Reception,,Safe,,Friable,Insulation Products,Internal insulation (suspected),Not Sampled,Assumed Positive,Greencap,Stable,Low,1.0,No,,J169642-001-Photo033,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-53.0,Main Hospital Building,Internal,Ground Level,South Store Room,,Ceiling,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,10.0,No,,J169642-001-Photo048,"Painted white Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-54.0,Main Hospital Building,Internal,Ground Level,Store Offices,,Ceiling,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,8.0,No,,J169642-001-Photo019,"Painted white Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-55.0,Main Hospital Building,Internal,Ground Level,Utility Room Adjacent Ward 10,Under sink,Shelving,,Friable,Vinyl products,Hessian backed vinyl sheet,J169642-001-014,Positive,Greencap,Stable,Low,3.0,No,,J169642-001-Photo038,"Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-56.0,Main Hospital Building,Internal,Ground Level,Ward 12,,Floor covering,,,,Vinyl sheet,J169642-001-007,Assumed Negative,Greencap,,,,No,,,Vinyl and backing,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-57.0,Main Hospital Building,Internal,Ground Level,Ward 12,Beneath shower tray,Shower Cubicle,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Unknown,Low,1.0,No,,J169642-001-Photo012,"Restricted Access. Confirm status, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-58.0,Main Hospital Building,Internal,Ground Level,West Passage - Adjacent CCSD,,Fire door(s),,Friable,Insulation Products,Fire door core,Not Sampled,Assumed Positive,Greencap,Stable,Low,2.0,No,,J169642-001-Photo028,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-59.0,Main Hospital Building,Internal,Ground Level,Workshop,,Infill panels,,,,Flat sheeting,J169642-001-017,Negative,Greencap,,,,No,,,Painted white,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-60.0,Main Hospital Building,Internal,Ground Level,Workshop,,Stored item(s),,,,Flat sheeting,J169642-001-017,Assumed Negative,Greencap,,,,No,,,,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-61.0,Main Hospital Building,Internal,Ground Level,Workshop,Above heater,Heater,,,,Flat sheeting,J169642-001-017,Assumed Negative,Greencap,,,,No,,,Flue boxing,False
BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-62.0,Nurses Accommodation,External,Ground Level,Porch,,Porch ceiling,,,,Flat sheeting,J134889-05,Negative,Greencap,,,,No,,,Painted white,False
BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-BLD-NURSES-ACCOMMODATION-ITEM-63.0,Nurses Accommodation,External,Ground Level,Throughout,,Eaves,,,,Flat sheeting,J134889-05,Negative,Greencap,,,,No,,,Painted white,False
