Item_ID__c,Building_Code__c,Internal_External__c,Level__c,Room_or_Area__c,Location_in_Room__c,Item_Name__c,If_Other_Item_Name__c,Friability_of_Material__c,ACM_Classification__c,ACM_Sub_Classification__c,NATA_Endorsed_Sample_no__c,Sample_Analysis_Result_Material_Status__c,Identifying_Hygiene_Consulting_Company__c,Condition__c,Disturbance_Potential_of_Material__c,Quantity__c,Labelled__c,Labelled_Details__c,Photo_Ref__c,Additional_Comments__c,Assumed_Removed__c
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-24.0,Main Hospital Building,External,Ground Level,North Courtyard,Throughout,Eaves,,Non-friable,Cement products,Flat sheeting,J134889-04,Positive,Greencap,Stable,Low,30.0,No,,J169642-001-Photo040,"Painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-25.0,Main Hospital Building,External,Ground Level,South Courtyard,Above entry door,Eaves,,Non-friable,Cement products,Flat sheeting,35766/21,Positive,Greencap,Stable,Low,2.0,No,,J169642-001-Photo045,"Boxing painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-26.0,Main Hospital Building,External,Ground Level,South Courtyard,Throughout,Eaves,,Non-friable,Cement products,Flat sheeting,J134889-04,Positive,Greencap,Stable,Low,35.0,No,,J169642-001-Photo044,"Painted white. Maintain in current condition, label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-27.0,Main Hospital Building,Internal,Ground Level,All rooms,Various Throughout,Floor covering,,,,Vinyl sheet,35766/01,Negative,Greencap,,,,No,,,Cream beneath carpet in various areas.,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-28.0,Main Hospital Building,Internal,Ground Level,Bathroom Adjacent Labour Ward,,Bath surround panels,,,,Flat sheeting,35766/03,Negative,Greencap,,,,No,,,,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-29.0,Main Hospital Building,Internal,Ground Level,Bathroom Adjacent Labour Ward,Beneath shower tray,Shower Cubicle,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,1.0,No,,J169642-001-Photo043,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-30.0,Main Hospital Building,Internal,Mezzanine Floor,Boiler Room South,,Flue,,Friable,Textiles,Rope and string,J169642-001-006,Positive,Greencap,Poor,Low,1.0,No,,J169642-001-Photo014,Engage a licensed asbestos contractor to undertake remedial/removal works on this item as soon as practicable (within 3 months).,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-31.0,Main Hospital Building,Internal,Mezzanine Floor,Boiler Room South,,Plant and equipment,,,,Gland packing,J169642-001-005,Negative,Greencap,,,,No,,,,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-32.0,Main Hospital Building,Internal,Ground Level,CCSD - Entry,,Fire door(s),,Friable,Insulation Products,Fire door core,Not Sampled,Assumed Positive,Greencap,Stable,Low,1.0,No,,J169642-001-Photo029,"Restricted Access. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-33.0,Main Hospital Building,Internal,Ground Level,Compressor Room - South,,Wall(s),,Non-friable,Vinyl products,Vinyl sheet,35766/09,Positive,Greencap,Fair,Low,2.0,No,,J169642-001-Photo046,Painted white. label and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-34.0,Main Hospital Building,Internal,Ground Level,East Passage,,Floor covering adhesive,,,,Adhesive or glue,J169642-001-010,Negative,Greencap,,,,No,,,Black floor covering previously partially removed,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-35.0,Main Hospital Building,Internal,Ground Level,East Passage - Linnen Store,,Floor covering,,,,Vinyl tiles,J169642-001-011,Negative,Greencap,,,,No,,,Brown loose piece,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-36.0,Main Hospital Building,Internal,Ground Level,East Passage - Linnen Store,,Floor covering,,,,Hessian backed vinyl sheet,J169642-001-013,Negative,Greencap,,,,No,,,,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-37.0,Main Hospital Building,Internal,Ground Level,East Passage - Linnen Store,,Floor covering,,,,Vinyl tiles and adhesive,J169642-001-012,Negative,Greencap,,,,No,,,Black attached to brown loose piece,False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-38.0,Main Hospital Building,Internal,Ground Level,Flamable Liquids Store,,Ceiling,,Non-friable,Cement products,Flat sheeting,Not Sampled,Assumed Positive,Greencap,Stable,Low,3.0,No,,J169642-001-Photo053,"Height Restricted. Confirm status, label, maintain in current condition and incorporate into an AMP. Remove by licensed asbestos contractor prior to demolition or refurbishment.",False
BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-BLD-MAIN-HOSPITAL-BUILDING-ITEM-39.0,Main Hospital Building,Internal,Ground Level,Former Laundry,,Stored item(s),,,,Flat sheeting,J169642-001-017,Assumed Negative,Greencap,,,,No,,,,False
